,phylum,class,order,family,genus,species
78,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Budviciaceae,Leminorella,Leminorella
79,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale et rel.
80,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii et rel.
81,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium
82,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcaceae,Micrococcaceae
83,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Mitsuokella,Mitsuokella multiacida et rel.
84,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxellaceae,Moraxellaceae
85,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium
86,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanospirillum,Oceanospirillum
87,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Oscillospira,Oscillospira guillermondii et rel.
88,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Outgrouping clostridium cluster XIVa
89,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,Oxalobacter formigenes et rel.
90,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Papillibacter,Papillibacter cinnamivorans et rel.
91,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis et rel.
92,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Peptococcus,Peptococcus niger et rel.
93,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus anaerobius et rel.
94,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus micros et rel.
95,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium faecium et rel.
96,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella melaninogenica et rel.
97,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella oralis et rel.
98,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella ruminicola et rel.
99,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella tannerae et rel.
100,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium
101,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus et rel.
102,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas
103,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia intestinalis et rel.
104,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus bromii et rel.
105,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus callidus et rel.
106,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus gnavus et rel.
107,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus lactaris et rel.
108,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus obeum et rel.
109,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia
110,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Sporobacter,Sporobacter termitidis et rel.
111,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus
112,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus bovis et rel.
113,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus intermedius et rel.
114,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis et rel.
115,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Subdoligranulum,Subdoligranulum variable at rel.
116,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella wadsworthia et rel.
117,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,Tannerella et rel.
118,Bacteroidota,Bacteroidota,Bacteroidota,Bacteroidota,Bacteroidota,Uncultured Bacteroidetes
119,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales,Chlamydomonadales,Uncultured Chroococcales
120,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Uncultured Clostridium (sensu stricto)les I
121,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Uncultured Clostridium (sensu stricto)les II
122,Mycoplasmatota,Mollicutes,Mollicutes,Mollicutes,Mollicutes,Uncultured Mollicutes
123,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonadaceae,Uncultured Selenomonadaceae
124,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella
125,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio
126,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella et rel.
127,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Wissella et rel.
128,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Lysobacteraceae,Xanthomonadaceae
129,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia et rel.
