,dbscan,kmeans_4,kmeans_8,x_pca,y_pca,x_kernel_pca,y_kernel_pca,x_tsne,y_tsne
0,-1,1,5,-0.3184099173250708,-0.3822355653557735,-0.16071967610715146,-0.2868913489104064,-4.015964984893799,-33.309593200683594
1,-1,0,2,0.40993376507806506,-0.21391215187309345,0.22459578696530413,-0.043980008629240605,19.422183990478516,25.820457458496094
2,-1,3,3,-0.004621636352881319,0.570392776563872,-0.09306889974117037,0.28718500730062374,-6.311758041381836,21.79977798461914
3,-1,2,5,-0.2531211749783032,-0.07820150759071741,-0.08823719716199642,-0.025010684413119863,-32.83488082885742,-11.939687728881836
4,-1,1,5,-0.2363523977713781,-0.2553324811577609,-0.08069992094230141,-0.062466616057892596,9.594654083251953,-34.10041427612305
5,-1,2,6,-0.15952338615433467,0.04065693006755319,-0.060432838487458215,0.026476739411918405,-33.79701614379883,-11.76666259765625
6,-1,1,5,-0.18317857567578513,-0.2590056033655954,-0.051015254928898475,-0.014214872493234684,6.925148010253906,-41.693607330322266
7,-1,1,5,-0.13192892327667807,-0.399501404936097,-0.03934809049918195,-0.0029321042519378066,4.314319610595703,-41.73344421386719
8,-1,1,5,-0.21437642103040971,-0.4759905124823886,-0.06149537356021139,-0.05550694442749875,3.7202324867248535,-38.75767135620117
9,-1,1,4,-0.30315084761522243,-0.27972382872478135,-0.17516429714699205,-0.31642770030366846,-14.647547721862793,-20.851150512695312
10,-1,1,0,-0.2904858890020155,-0.3299978883114817,-0.10058773561449727,-0.1198275969851903,5.074538707733154,-20.659425735473633
11,-1,1,7,-0.17567861767470688,-0.06658543563400435,-0.057217613601926856,0.008304402038184031,11.234468460083008,-20.059934616088867
12,-1,1,1,-0.2630677431064076,-0.24551187861103202,-0.08676808537466607,-0.08023354831059441,-0.024173874408006668,-40.001163482666016
13,-1,1,4,-0.2707286587449968,-0.35915054160956206,-0.09971879616605564,-0.13611099044587194,7.255276679992676,-18.131742477416992
14,-1,1,5,-0.2134928969835925,-0.44934925338815773,-0.06368558645010088,-0.05488203696767984,4.673017501831055,-40.044673919677734
15,-1,2,1,-0.25492369009051064,0.004088933601982272,-0.13108150195575266,-0.0321056377070051,-30.414949417114258,-10.545390129089355
16,-1,1,5,-0.3210419182850015,-0.42213261835951044,-0.15341721951444626,-0.26878670005204014,0.8106418251991272,-33.21648406982422
17,-1,1,5,-0.31215781618090327,-0.45433745263730974,-0.12466649848211594,-0.19548638637793042,2.307002544403076,-33.14202880859375
18,-1,1,5,-0.11714819882339293,-0.2880613963479618,-0.03701548556424066,0.004495133921310228,16.891862869262695,-25.413461685180664
19,0,0,2,0.9049922979064339,-0.23326757344947685,0.828851732333818,-0.04667294035834597,27.980796813964844,42.04352569580078
20,-1,1,1,-0.2973286354416114,-0.02425919486676011,-0.17363116085334568,-0.12243598260265948,-22.98569679260254,-7.768874645233154
21,-1,2,6,-0.20376262304960976,0.09018971705405947,-0.11489267603257464,0.04294463399575856,-31.52831268310547,-10.187932968139648
22,0,0,2,0.6285522937774886,-0.35072751806158275,0.4082398355753203,-0.035828132890669454,25.08072853088379,31.27408218383789
23,0,0,2,0.9212127614676165,-0.23401443477664913,0.8332178765136774,-0.04726099962035697,27.22481918334961,43.16487503051758
24,1,1,4,-0.2630962283579024,-0.3558381094999424,-0.21145143695597712,-0.43515496624149375,-8.568406105041504,-17.80780601501465
25,-1,1,7,-0.09558887282919751,-0.2674787204906631,-0.035878191265492125,0.006903557317954947,23.80038070678711,-18.29427146911621
26,-1,1,7,-0.037061850540687995,-0.3058972553326616,-0.03853156153129045,0.0027707383259560226,16.235748291015625,-37.15695571899414
27,-1,1,0,-0.1721311744733816,-0.17901973415386818,-0.08308989452419488,-0.0351971327476619,17.613040924072266,-11.493895530700684
28,-1,1,7,0.05941032872864484,-0.208383289400676,-0.02863591573969228,0.01449693329838358,-16.960838317871094,-1.7450320720672607
